Pk,Tm,Player,College,Year,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Per Game FG,Per Game FGA,Per Game 2P,Per Game 2PA,Per Game 3P,Per Game 3PA,Per Game FT,Per Game FTA,Per Game ORB,Per Game DRB,Per Game TRB,Per Game AST,Per Game STL,Per Game BLK,Per Game TOV,Per Game PF,Per Game PTS,Per Game SOS,Per 40 FG,Per 40 FGA,Per 40 2P,Per 40 2PA,Per 40 3P,Per 40 3PA,Per 40 FT,Per 40 FTA,Per 40 TRB,Per 40 AST,Per 40 STL,Per 40 BLK,Per 40 TOV,Per 40 PF,Per 40 PTS,Per 100 Poss FG,Per 100 Poss FGA,Per 100 Poss 2P,Per 100 Poss 2PA,Per 100 Poss 3P,Per 100 Poss 3PA,Per 100 Poss FT,Per 100 Poss FTA,Per 100 Poss TRB,Per 100 Poss AST,Per 100 Poss STL,Per 100 Poss BLK,Per 100 Poss TOV,Per 100 Poss PF,Per 100 Poss PTS,Per 100 Poss ORtg,Per 100 Poss DRtg,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,PER,OBPM,DBPM,BPM
3,DEN,Carmelo Anthony,Syracuse University,2003,2002-03,Syracuse,Big East,35,35,1274,277,612,0.453,221,446,0.496,56,166,0.337,168,238,0.706,101,248,349,77,55,30,77,77,778,7.9,17.5,6.3,12.7,1.6,4.7,4.8,6.8,2.9,7.1,10,2.2,1.6,0.9,2.2,2.2,22.2,9.02,8.7,19.2,6.9,14,1.8,5.2,5.3,7.5,11,2.4,1.7,0.9,2.4,2.4,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.537,0.498,0.271,0.389,NA,NA,NA,14,11.9,NA,1.5,9.6,29.3,2.7,3.1,5.8,0.183,NA,NA,NA,NA
3,DEN,Carmelo Anthony,Syracuse University,2003,Career,Syracuse,NA,35,35,1274,277,612,0.453,221,446,0.496,56,166,0.337,168,238,0.706,101,248,349,77,55,30,77,77,778,7.9,17.5,6.3,12.7,1.6,4.7,4.8,6.8,2.9,7.1,10,2.2,1.6,0.9,2.2,2.2,22.2,9.02,8.7,19.2,6.9,14,1.8,5.2,5.3,7.5,11,2.4,1.7,0.9,2.4,2.4,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.537,0.498,0.271,0.389,NA,NA,NA,14,11.9,NA,1.5,9.6,29.3,2.7,3.1,5.8,0.183,NA,NA,NA,NA
4,TOR,Chris Bosh,Georgia Institute of Technology,2003,2002-03,Georgia Tech,ACC,31,31,960,168,300,0.56,146,254,0.575,22,46,0.478,127,174,0.73,95,183,278,38,30,67,72,73,485,5.4,9.7,4.7,8.2,0.7,1.5,4.1,5.6,3.1,5.9,9,1.2,1,2.2,2.3,2.4,15.6,7.94,7,12.5,6.1,10.6,0.9,1.9,5.3,7.3,11.6,1.6,1.3,2.8,3,3,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.634,0.597,0.153,0.58,NA,NA,NA,NA,NA,NA,NA,15.8,NA,3.5,2.9,6.4,0.267,NA,NA,NA,NA
4,TOR,Chris Bosh,Georgia Institute of Technology,2003,Career,Georgia Tech,NA,31,31,960,168,300,0.56,146,254,0.575,22,46,0.478,127,174,0.73,95,183,278,38,30,67,72,73,485,5.4,9.7,4.7,8.2,0.7,1.5,4.1,5.6,3.1,5.9,9,1.2,1,2.2,2.3,2.4,15.6,7.94,7,12.5,6.1,10.6,0.9,1.9,5.3,7.3,11.6,1.6,1.3,2.8,3,3,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.634,0.597,0.153,0.58,NA,NA,NA,NA,NA,NA,NA,15.8,NA,3.5,2.9,6.4,0.267,NA,NA,NA,NA
5,MIA,Dwyane Wade,Marquette University,2003,2001-02,Marquette,CUSA,32,32,935,223,458,0.487,205,406,0.505,18,52,0.346,107,155,0.69,81,130,211,110,79,36,96,80,571,7,14.3,6.4,12.7,0.6,1.6,3.3,4.8,2.5,4.1,6.6,3.4,2.5,1.1,3,2.5,17.8,4.77,9.5,19.6,8.8,17.4,0.8,2.2,4.6,6.6,9,4.7,3.4,1.5,4.1,3.4,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.537,0.507,0.114,0.338,NA,NA,NA,13.6,27.9,NA,2.9,15.3,33.6,2.4,4.5,6.8,0.292,NA,NA,NA,NA
5,MIA,Dwyane Wade,Marquette University,2003,2002-03,Marquette,CUSA,33,33,1058,251,501,0.501,237,457,0.519,14,44,0.318,194,249,0.779,60,149,209,145,71,43,107,76,710,7.6,15.2,7.2,13.8,0.4,1.3,5.9,7.5,1.8,4.5,6.3,4.4,2.2,1.3,3.2,2.3,21.5,7.28,9.5,18.9,9,17.3,0.5,1.7,7.3,9.4,7.9,5.5,2.7,1.6,4,2.9,26.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.573,0.515,0.088,0.497,NA,NA,NA,NA,NA,NA,NA,14.7,NA,3.6,2.9,6.5,0.246,NA,NA,NA,NA
5,MIA,Dwyane Wade,Marquette University,2003,Career,Marquette,NA,65,65,1993,474,959,0.494,442,863,0.512,32,96,0.333,301,404,0.745,141,279,420,255,150,79,203,156,1281,7.3,14.8,6.8,13.3,0.5,1.5,4.6,6.2,2.2,4.3,6.5,3.9,2.3,1.2,3.1,2.4,19.7,6.03,9.5,19.2,8.9,17.3,0.6,1.9,6,8.1,8.4,5.1,3,1.6,4.1,3.1,25.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.557,0.511,0.1,0.421,NA,NA,NA,13.6,27.9,NA,2.9,15,33.6,6,7.3,13.3,0.268,NA,NA,NA,NA
6,LAC,Chris Kaman,Central Michigan University,2003,2000-01,Central Michigan,MAC,28,1,520,105,183,0.574,105,183,0.574,0,0,NA,63,90,0.7,48,87,135,6,14,45,51,67,273,3.8,6.5,3.8,6.5,0,0,2.3,3.2,1.7,3.1,4.8,0.2,0.5,1.6,1.8,2.4,9.8,0.02,8.1,14.1,8.1,14.1,0,0,4.8,6.9,10.4,0.5,1.1,3.5,3.9,5.2,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.605,0.574,0,0.492,NA,NA,NA,NA,NA,NA,NA,18.4,NA,1.8,1.1,2.8,0.218,NA,NA,NA,NA
6,LAC,Chris Kaman,Central Michigan University,2003,2001-02,Central Michigan,MAC,24,13,604,97,158,0.614,97,158,0.614,0,0,NA,89,137,0.65,67,132,199,22,9,39,69,68,283,4,6.6,4,6.6,0,0,3.7,5.7,2.8,5.5,8.3,0.9,0.4,1.6,2.9,2.8,11.8,1.33,6.4,10.5,6.4,10.5,0,0,5.9,9.1,13.2,1.5,0.6,2.6,4.6,4.5,18.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.634,0.614,0,0.867,NA,NA,NA,20,8.4,NA,4.8,23.6,24.4,2.1,0.6,2.7,0.176,NA,NA,NA,NA
6,LAC,Chris Kaman,Central Michigan University,2003,2002-03,Central Michigan,MAC,31,31,1055,244,392,0.622,244,392,0.622,0,0,NA,206,275,0.749,112,261,373,37,19,98,137,99,694,7.9,12.6,7.9,12.6,0,0,6.6,8.9,3.6,8.4,12,1.2,0.6,3.2,4.4,3.2,22.4,1.79,9.3,14.9,9.3,14.9,0,0,7.8,10.4,14.1,1.4,0.7,3.7,5.2,3.8,26.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.664,0.622,0,0.702,NA,NA,NA,21.8,7.9,NA,6.5,20.8,30,5.4,1.5,6.8,0.259,NA,NA,NA,NA
