Year,Player,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),WEIGHT (LBS),Wingspan_Inches,Standing_Reach_Inches,Height_W_Shoes_Inches,Height_WO_Shoes_Inches
2003,Willie Green,SG-PG,8.00%,-,-,201,79.25,100,0,74.5
2003,Will McDonald,C-PF,13.60%,-,-,258,87.5,109.5,0,81.5
2003,Wesley Wilson,C-PF,12.40%,-,-,257,87,110.5,0,82.25
2003,Wayne Wallace,PF,4.60%,-,-,187,86,108,0,79.25
2003,Ugonna Okyekwe,SF,4.30%,-,-,228,87,109,0,79.25
2003,Uche Nsonwu-Amadi,PF-C,6.00%,-,-,246,87.75,106.5,0,79.75
2003,Troy Bell,PG,5.30%,-,-,178,77,97.5,0,72.25
2003,Trevor Harvey,C-PF,10.50%,-,-,245,85,109.5,0,81.5
2003,Travis Hansen,SG,6.00%,-,-,200,78.5,100.5,0,76.5
2003,Tommy Smith,PF-SF,6.70%,-,-,200,86.5,107.5,0,81
2003,Theron Smith,PF-SF,9.30%,-,-,234,82.25,104.5,0,78.5
2003,T.J. Ford,PG,6.70%,-,-,162,71.5,93.5,0,71
2003,Stephane Pelle,PF-SF,12.40%,-,-,246,86,107,0,79
2003,Souleymane Camara,PF-SF,9.90%,-,-,211,86.25,109,0,81.75
2003,Sasha Vujacic,PG-SG,14.10%,-,-,193,77.5,101,0,77.5
2003,Sani Ibrahim,C-PF,9.30%,-,-,229,85,109.5,0,80.5
2003,Sam Hoskin,PF,-%,-,-,261,82.75,107.5,0,79.25
2003,Ruben Douglas,SG,6.00%,-,-,193,79.25,100.5,0,75.5
2003,Ronald Dupree,SF-SG,6.70%,-,-,209,80.25,101,0,78
2003,Ron Slay,SF-PF,16.30%,-,-,236,82,103.5,0,78
2003,Robert Jackson,PF-C,15.90%,-,-,254,84,107.5,0,79.75
2003,Rick Anderson,SF-PF,9.90%,-,-,216,83,106.5,0,80.25
2003,Pavel Podkolzin,C,16.30%,-,-,303,89.75,116,0,87.5
2003,Nick Collison,PF,17.00%,-,-,255,85.5,108,0,80.75
2003,Mo Williams,PG-SG,6.70%,-,-,189,77.5,98.5,0,72.75
2003,Michael Sweetney,PF,14.10%,-,-,262,85,107.5,0,79.25
2003,Michael Ignerski,PF-SF,10.50%,-,-,232,82.75,107,0,81.5
2003,Matt Carroll,SG-SF,6.70%,-,-,207,78.5,98.5,0,77
2003,Matt Bonner,PF-SF,13.60%,-,-,242,80.75,105.5,0,80.5
2003,Marvin Stone,C-PF,17.40%,-,-,261,87.5,109.5,0,81.5
2003,Marquis Estill,PF-C,11.70%,-,-,257,88,108,0,80.5
2003,Marquis Daniels,SG-PG,4.00%,-,-,198,82,103.5,0,77.25
2003,Marlon Parmer,PG,9.30%,-,-,184,75.5,97,0,72.75
2003,Marcus Hatten,PG,4.00%,-,-,163,78.25,98,0,72.75
2003,Luke Walton,SF-PF,9.30%,-,-,235,80.5,104,0,79.75
2003,Luke Ridnour,PG,5.30%,-,-,167,75,95.5,0,73
2003,LeBron James,SF-SG,6.70%,-,-,245,84.25,106.25,0,79.25
2003,LaVell Blanchard,SF,11.70%,-,-,205,78,101.5,0,78
2003,Kyle Korver,SF,6.70%,-,-,211,81.5,102.5,0,78.25
2003,Kirk Penney,SG-SF,8.00%,-,-,218,77.25,97,0,77
2003,Kirk Hinrich,PG-SG,5.30%,-,-,186,78,98.5,0,74.75
2003,Keith Bogans,SG,8.00%,-,-,213,81.25,101,0,76.25
2003,Justin Hamilton,PG-SG,8.00%,-,-,217,83,103,0,75
2003,Josh Powell,PF-SF,8.00%,-,-,227,85,107.5,0,80
2003,Josh Howard,SF-SG,6.00%,-,-,202,86,105.5,0,77.25
2003,Joel Cornette,PF-SF,12.90%,-,-,239,81.25,105.5,0,80.25
2003,Joe Shipp,SG,11.70%,-,-,224,82,103,0,76
2003,Jerry Holman,PF,6.00%,-,-,232,87.25,109.5,0,80.75
2003,Jerome Beasley,SF-PF,9.90%,-,-,237,84.5,107,0,81
2003,Jermaine Boyette,PG-SG,7.30%,-,-,187,76,96,0,73
2003,Jeff Newton,PF,5.30%,-,-,199,85,106,0,80
2003,Jason Keep,C-PF,8.60%,-,-,270,84.5,106.5,0,81.75
2003,Jason Kapono,SG-SF,11.70%,-,-,215,78.5,102,0,78.5
2003,Jason Gardner,PG,9.30%,-,-,194,73,92,0,69.75
2003,James Lang,C-PF,21.40%,-,-,316,90.25,110,0,80.25
2003,James Jones,SF,6.70%,-,-,218,86.5,107.5,0,79.25
2003,Hollis Price,PG-SG,7.30%,-,-,165,76.5,94.5,0,71.5
2003,Ebi Ere,SG,14.10%,-,-,210,82.5,102,0,75.5
2003,Dwyane Wade,SG-SF,6.70%,-,-,212,82.75,102,0,75.75
2003,Doug Wrenn,SF-PF,7.30%,-,-,220,91.5,100.5,0,77.75
2003,Donald Little,PF-C,7.30%,-,-,229,87,97,0,81.5
2003,Derrick Zimmerman,PG,5.30%,-,-,190,81,96.25,0,73
2003,David West,PF-SF,8.00%,-,-,226,88.25,108.25,0,80.25
2003,Darko Milicic,PF,8.00%,-,-,250,89,111.5,0,83.5
2003,Dahntay Jones,SG-SF,2.60%,-,-,214,81,102.5,0,76.75
2003,Chris Massie,PF-C,14.80%,-,-,259,85,106.5,0,78.5
2003,Chris Marcus,C,23.10%,-,-,334,92,114,0,84
2003,Chris Kaman,C-PF,16.30%,-,-,252,83.75,110.5,0,83.5
2003,Chris Bosh,PF,8.00%,-,-,225,87.5,109,0,82.25
2003,Carmelo Anthony,SF,8.00%,-,-,233,84,105.5,0,78.25
2003,Carl English,SG-PG,8.00%,-,-,201,77.25,98.5,0,76
2003,Britton Johnsen,SF-PF,7.30%,-,-,212,82.75,107.5,0,82
2003,Brian Cook,PF-SF,10.50%,-,-,234,86,109,0,81.5
2003,Brandon Hunter,PF,8.00%,-,-,266,86.75,105.5,0,78.5
2003,Brandin Knight,PG,10.50%,-,-,190,78,95.5,0,71.75
2003,Bernard King,SG-PG,12.90%,-,-,200,77.5,98.5,0,75.75
2003,Aloysius Anagonye,PF,10.50%,-,-,257,86.5,106,0,78.75
2003,Aleksander Djuric,C-PF,16.30%,-,-,253,84,108,0,82
2004,Trevor Ariza,SG-SF,8.00%,-,-,201,86,107.5,80.25,79
2004,Tony Bobbitt,SG,7.30%,-,-,185,79,100,76,74.75
2004,Tony Allen,SG,6.70%,-,-,214,81,102,76.25,75.5
2004,Tom Timmerrmans,PF-C,15.20%,-,-,272,83,107.5,83.5,82.5
2004,Tim Pickett,PG-SG,6.00%,-,-,207,79.5,100.5,76.25,75
2004,Tim Bowers,PG-SG,2.60%,-,-,181,81,98,73.75,72.5
2004,Tiago Splitter,C-PF,5.30%,-,-,233,86,109.5,83.75,82.25
2004,TJ Cummings,SF,6.70%,-,-,215,81.5,106.5,80.75,79.5
2004,Shaun Livingston,PG-SG,6.70%,-,-,186,83,105.5,79.5,78.25
