Pk,Drafted Team,Player,College,Year,NBA_URL,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Per Game FG,Per Game FGA,Per Game 3P,Per Game 3PA,Per Game 2P,Per Game 2PA,Per Game FT,Per Game FTA,Per Game ORB,Per Game DRB,Per Game TRB,Per Game AST,Per Game STL,Per Game BLK,Per Game TOV,Per Game PF,Per Game PTS,Per 36 Min FG,Per 36 Min FGA,Per 36 Min 3P,Per 36 Min 3PA,Per 36 Min 2P,Per 36 Min 2PA,Per 36 Min FT,Per 36 Min FTA,Per 36 Min ORB,Per 36 Min DRB,Per 36 Min TRB,Per 36 Min AST,Per 36 Min STL,Per 36 Min BLK,Per 36 Min TOV,Per 36 Min PF,Per 36 Min PTS,Per 100 Poss FG,Per 100 Poss FGA,Per 100 Poss 3P,Per 100 Poss 3PA,Per 100 Poss 2P,Per 100 Poss 2PA,Per 100 Poss FT,Per 100 Poss FTA,Per 100 Poss ORB,Per 100 Poss DRB,Per 100 Poss TRB,Per 100 Poss AST,Per 100 Poss STL,Per 100 Poss BLK,Per 100 Poss TOV,Per 100 Poss PF,Per 100 Poss PTS,Per 100 Poss ORtg,Per 100 Poss DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
4,TOR,Chris Bosh,Georgia Institute of Technology,2003,https://www.basketball-reference.com/players/b/boshch01.html,893,881,31936,6209,12581,0.494,305,910,0.335,5904,11671,0.506,0.506,4466,5591,0.799,1927,5665,7592,1795,730,932,1807,2159,17189,7,14.1,0.3,1,6.6,13.1,5,6.3,2.2,6.3,8.5,2,0.8,1,2,2.4,19.2,7,14.2,0.3,1,6.7,13.2,5,6.3,2.2,6.4,8.6,2,0.8,1.1,2,2.4,19.4,10.2,20.7,0.5,1.5,9.7,19.2,7.4,9.2,3.2,9.3,12.5,3,1.2,1.5,3,3.6,28.3,113,105,20.6,0.571,0.072,0.444,7.2,20.7,14.1,9.9,1.2,2.3,10.7,24.6,68.8,37.2,106,0.159,1,0.4,1.4,27.5
5,MIA,Dwyane Wade,Marquette University,2003,https://www.basketball-reference.com/players/w/wadedw01.html,987,907,34012,8064,16718,0.482,470,1631,0.288,7594,15087,0.503,0.496,5549,7240,0.766,1199,3476,4675,5414,1563,850,3174,2222,22147,8.2,16.9,0.5,1.7,7.7,15.3,5.6,7.3,1.2,3.5,4.7,5.5,1.6,0.9,3.2,2.3,22.4,8.5,17.7,0.5,1.7,8,16,5.9,7.7,1.3,3.7,4.9,5.7,1.7,0.9,3.4,2.4,23.4,12.5,25.9,0.7,2.5,11.7,23.3,8.6,11.2,1.9,5.4,7.2,8.4,2.4,1.3,4.9,3.4,34.3,109,104,23.9,0.556,0.098,0.433,4.3,11.7,8.1,30.6,2.4,2,13.8,31.6,73.1,45.3,118.4,0.167,3.7,1,4.7,57.8
6,LAC,Chris Kaman,Central Michigan University,2003,https://www.basketball-reference.com/players/k/kamanch01.html,735,538,19642,3432,7023,0.489,1,24,0.042,3431,6999,0.49,0.489,1343,1808,0.743,1487,4095,5582,921,322,931,1544,1968,8208,4.7,9.6,0,0,4.7,9.5,1.8,2.5,2,5.6,7.6,1.3,0.4,1.3,2.1,2.7,11.2,6.3,12.9,0,0,6.3,12.8,2.5,3.3,2.7,7.5,10.2,1.7,0.6,1.7,2.8,3.6,15,9.1,18.7,0,0.1,9.1,18.6,3.6,4.8,4,10.9,14.8,2.4,0.9,2.5,4.1,5.2,21.8,98,105,14.9,0.525,0.003,0.257,8.8,23.8,16.4,8.3,0.9,3.6,16.5,21.7,0.4,24.2,24.6,0.06,-3,1,-2,0
7,CHI,Kirk Hinrich,University of Kansas,2003,https://www.basketball-reference.com/players/h/hinriki01.html,879,665,27015,3503,8522,0.411,1172,3122,0.375,2331,5400,0.432,0.48,1416,1770,0.8,310,2266,2576,4245,972,243,1617,2487,9594,4,9.7,1.3,3.6,2.7,6.1,1.6,2,0.4,2.6,2.9,4.8,1.1,0.3,1.8,2.8,10.9,4.7,11.4,1.6,4.2,3.1,7.2,1.9,2.4,0.4,3,3.4,5.7,1.3,0.3,2.2,3.3,12.8,6.7,16.4,2.3,6,4.5,10.4,2.7,3.4,0.6,4.4,5,8.2,1.9,0.5,3.1,4.8,18.5,105,105,12.8,0.516,0.366,0.208,1.3,9.5,5.4,25.7,1.9,0.7,14.8,18.2,21.8,30.6,52.5,0.093,0.3,-0.2,0.2,14.7
9,NYK,Mike Sweetney,Georgetown University,2003,https://www.basketball-reference.com/players/s/sweetmi01.html,233,73,3610,564,1164,0.485,0,2,0,564,1162,0.485,0.485,388,563,0.689,400,645,1045,145,73,107,277,569,1516,2.4,5,0,0,2.4,5,1.7,2.4,1.7,2.8,4.5,0.6,0.3,0.5,1.2,2.4,6.5,5.6,11.6,0,0,5.6,11.6,3.9,5.6,4,6.4,10.4,1.4,0.7,1.1,2.8,5.7,15.1,8.2,16.9,0,0,8.2,16.9,5.6,8.2,5.8,9.4,15.2,2.1,1.1,1.6,4,8.3,22,104,104,15.1,0.537,0.002,0.484,12.9,20.7,16.8,6.7,1.1,2.3,16.4,21.2,3.1,4.7,7.8,0.103,-2.1,0,-2.1,-0.1
10,WAS,Jarvis Hayes,University of Georgia,2003,https://www.basketball-reference.com/players/h/hayesja01.html,427,115,9898,1397,3363,0.415,392,1101,0.356,1005,2262,0.444,0.474,367,460,0.798,244,1086,1330,459,312,56,374,852,3553,3.3,7.9,0.9,2.6,2.4,5.3,0.9,1.1,0.6,2.5,3.1,1.1,0.7,0.1,0.9,2,8.3,5.1,12.2,1.4,4,3.7,8.2,1.3,1.7,0.9,3.9,4.8,1.7,1.1,0.2,1.4,3.1,12.9,7.4,17.8,2.1,5.8,5.3,12,1.9,2.4,1.3,5.8,7,2.4,1.7,0.3,2,4.5,18.8,101,109,10.8,0.498,0.327,0.137,2.8,13,7.8,7.8,1.7,0.4,9.5,18,3.6,6.6,10.2,0.049,-1.5,-1.4,-2.9,-2.2
12,SEA,Nick Collison,University of Kansas,2003,https://www.basketball-reference.com/players/c/collini01.html,910,177,18603,2212,4146,0.534,21,101,0.208,2191,4045,0.542,0.536,914,1265,0.723,1766,2935,4701,939,446,469,878,2507,5359,2.4,4.6,0,0.1,2.4,4.4,1,1.4,1.9,3.2,5.2,1,0.5,0.5,1,2.8,5.9,4.3,8,0,0.2,4.2,7.8,1.8,2.4,3.4,5.7,9.1,1.8,0.9,0.9,1.7,4.9,10.4,6.1,11.5,0.1,0.3,6.1,11.2,2.5,3.5,4.9,8.1,13,2.6,1.2,1.3,2.4,6.9,14.8,115,107,13.2,0.57,0.024,0.305,11.1,17.9,14.5,7.6,1.2,1.9,15.7,13.4,26.4,18.1,44.5,0.115,-0.4,0.9,0.4,11.3
13,MEM,Marcus Banks,"University of Nevada, Las Vegas",2003,https://www.basketball-reference.com/players/b/banksma01.html,348,37,5571,741,1715,0.432,125,382,0.327,616,1333,0.462,0.469,454,591,0.768,100,419,519,728,266,57,436,674,2061,2.1,4.9,0.4,1.1,1.8,3.8,1.3,1.7,0.3,1.2,1.5,2.1,0.8,0.2,1.3,1.9,5.9,4.8,11.1,0.8,2.5,4,8.6,2.9,3.8,0.6,2.7,3.4,4.7,1.7,0.4,2.8,4.4,13.3,6.9,16,1.2,3.6,5.7,12.4,4.2,5.5,0.9,3.9,4.8,6.8,2.5,0.5,4.1,6.3,19.2,99,107,12.2,0.522,0.223,0.345,2.2,8.6,5.5,21.2,2.5,0.8,18.1,19.9,1.5,5.1,6.6,0.057,-1.5,-0.9,-2.4,-0.6
14,SEA,Luke Ridnour,University of Oregon,2003,https://www.basketball-reference.com/players/r/ridnolu01.html,830,493,21623,2933,6803,0.431,584,1674,0.349,2349,5129,0.458,0.474,1290,1496,0.862,363,1514,1877,3713,814,161,1349,1779,7740,3.5,8.2,0.7,2,2.8,6.2,1.6,1.8,0.4,1.8,2.3,4.5,1,0.2,1.6,2.1,9.3,4.9,11.3,1,2.8,3.9,8.5,2.1,2.5,0.6,2.5,3.1,6.2,1.4,0.3,2.2,3,12.9,7.1,16.4,1.4,4,5.6,12.3,3.1,3.6,0.9,3.6,4.5,8.9,2,0.4,3.2,4.3,18.6,108,111,13.9,0.519,0.246,0.22,1.9,8.3,5,27.5,2,0.6,15.3,18.3,24.6,11.4,36,0.08,0.3,-1.3,-0.9,5.8
15,ORL,Reece Gaines,University of Louisville,2003,https://www.basketball-reference.com/players/g/gainere01.html,71,1,605,48,148,0.324,7,26,0.269,41,122,0.336,0.348,20,33,0.606,9,44,53,50,17,3,26,40,123,0.7,2.1,0.1,0.4,0.6,1.7,0.3,0.5,0.1,0.6,0.7,0.7,0.2,0,0.4,0.6,1.7,2.9,8.8,0.4,1.5,2.4,7.3,1.2,2,0.5,2.6,3.2,3,1,0.2,1.5,2.4,7.3,4.2,13,0.6,2.3,3.6,10.7,1.8,2.9,0.8,3.9,4.6,4.4,1.5,0.3,2.3,3.5,10.8,82,111,5.3,0.378,0.176,0.223,1.7,8.4,5,12.5,1.5,0.4,13.8,14.2,-0.7,0.1,-0.6,-0.049,-5.5,-2.2,-7.7,-0.9
16,BOS,Troy Bell,Boston College,2003,https://www.basketball-reference.com/players/b/belltr01.html,6,0,34,4,18,0.222,0,4,0,4,14,0.286,0.222,3,3,1,3,1,4,4,1,0,6,6,11,0.7,3,0,0.7,0.7,2.3,0.5,0.5,0.5,0.2,0.7,0.7,0.2,0,1,1,1.8,4.2,19.1,0,4.2,4.2,14.8,3.2,3.2,3.2,1.1,4.2,4.2,1.1,0,6.4,6.4,11.6,6.2,27.8,0,6.2,6.2,21.6,4.6,4.6,4.6,1.5,6.2,6.2,1.5,0,9.3,9.3,17,61,108,-4.5,0.285,0.222,0.167,9.9,3.4,6.6,18.7,1.5,0,23.7,33.5,-0.2,0,-0.2,-0.326,-10.4,-3.9,-14.4,-0.1
