"","Pk","Drafted Team","Player","College","Year","NBA_URL","20_Point_Scorer","Scorer_Volume","8_Assist_Passer","Assist_Volume","10_Rebounder","Rebound_Volume","2_Blocker","PoorShooter","Few_NBA_Games"
"1",4,"TOR","Chris Bosh","Georgia Institute of Technology",2003,"https://www.basketball-reference.com/players/b/boshch01.html",0,"+15 Point Scorer",0,"Less than 5 Assists",0,"Less than 6 Rebounds",0,0,0
"2",5,"MIA","Dwyane Wade","Marquette University",2003,"https://www.basketball-reference.com/players/w/wadedw01.html",1,"+20 Point Scorer",0,"+5 Assists",0,"Less than 6 Rebounds",0,0,0
"3",6,"LAC","Chris Kaman","Central Michigan University",2003,"https://www.basketball-reference.com/players/k/kamanch01.html",0,"Less than 15 Point Scorer",0,"Less than 5 Assists",0,"Less than 6 Rebounds",0,0,0
"4",7,"CHI","Kirk Hinrich","University of Kansas",2003,"https://www.basketball-reference.com/players/h/hinriki01.html",0,"Less than 15 Point Scorer",0,"Less than 5 Assists",0,"Less than 6 Rebounds",0,0,0
"5",9,"NYK","Mike Sweetney","Georgetown University",2003,"https://www.basketball-reference.com/players/s/sweetmi01.html",0,"Less than 15 Point Scorer",0,"Less than 5 Assists",0,"Less than 6 Rebounds",0,0,0
"6",10,"WAS","Jarvis Hayes","University of Georgia",2003,"https://www.basketball-reference.com/players/h/hayesja01.html",0,"Less than 15 Point Scorer",0,"Less than 5 Assists",0,"Less than 6 Rebounds",0,0,0
"7",12,"SEA","Nick Collison","University of Kansas",2003,"https://www.basketball-reference.com/players/c/collini01.html",0,"Less than 15 Point Scorer",0,"Less than 5 Assists",0,"Less than 6 Rebounds",0,0,0
"8",13,"MEM","Marcus Banks","University of Nevada, Las Vegas",2003,"https://www.basketball-reference.com/players/b/banksma01.html",0,"Less than 15 Point Scorer",0,"Less than 5 Assists",0,"Less than 6 Rebounds",0,0,0
"9",14,"SEA","Luke Ridnour","University of Oregon",2003,"https://www.basketball-reference.com/players/r/ridnolu01.html",0,"Less than 15 Point Scorer",0,"Less than 5 Assists",0,"Less than 6 Rebounds",0,0,0
"10",15,"ORL","Reece Gaines","University of Louisville",2003,"https://www.basketball-reference.com/players/g/gainere01.html",0,"Less than 15 Point Scorer",0,"Less than 5 Assists",0,"Less than 6 Rebounds",0,1,1
"11",16,"BOS","Troy Bell","Boston College",2003,"https://www.basketball-reference.com/players/b/belltr01.html",0,"Less than 15 Point Scorer",0,"Less than 5 Assists",0,"Less than 6 Rebounds",0,1,1
"12",18,"NOH","David West","Xavier University",2003,"https://www.basketball-reference.com/players/w/westda01.html",0,"Less than 15 Point Scorer",0,"Less than 5 Assists",0,"Less than 6 Rebounds",0,0,0
"13",24,"LAL","Brian Cook","University of Illinois at Urbana-Champaign",2003,"https://www.basketball-reference.com/players/c/cookbr01.html",0,"Less than 15 Point Scorer",0,"Less than 5 Assists",0,"Less than 6 Rebounds",0,0,0
"14",29,"DAL","Josh Howard","Wake Forest University",2003,"https://www.basketball-reference.com/players/h/howarjo01.html",0,"Less than 15 Point Scorer",0,"Less than 5 Assists",0,"Less than 6 Rebounds",0,0,0
"15",31,"CLE","Jason Kapono","University of California, Los Angeles",2003,"https://www.basketball-reference.com/players/k/kaponja01.html",0,"Less than 15 Point Scorer",0,"Less than 5 Assists",0,"Less than 6 Rebounds",0,0,0
"16",32,"LAL","Luke Walton","University of Arizona",2003,"https://www.basketball-reference.com/players/w/waltolu01.html",0,"Less than 15 Point Scorer",0,"Less than 5 Assists",0,"Less than 6 Rebounds",0,0,0
"17",33,"MIA","Jerome Beasley","University of North Dakota",2003,"https://www.basketball-reference.com/players/b/beaslje01.html",0,"Less than 15 Point Scorer",0,"Less than 5 Assists",0,"Less than 6 Rebounds",0,1,1
"18",37,"ATL","Travis Hansen","Brigham Young University",2003,"https://www.basketball-reference.com/players/h/hansetr01.html",0,"Less than 15 Point Scorer",0,"Less than 5 Assists",0,"Less than 6 Rebounds",0,1,1
"19",38,"WAS","Steve Blake","University of Maryland",2003,"https://www.basketball-reference.com/players/b/blakest01.html",0,"Less than 15 Point Scorer",0,"Less than 5 Assists",0,"Less than 6 Rebounds",0,0,0
"20",41,"SEA","Willie Green","University of Detroit Mercy",2003,"https://www.basketball-reference.com/players/g/greenwi01.html",0,"Less than 15 Point Scorer",0,"Less than 5 Assists",0,"Less than 6 Rebounds",0,0,0
"21",43,"MIL","Keith Bogans","University of Kentucky",2003,"https://www.basketball-reference.com/players/b/boganke01.html",0,"Less than 15 Point Scorer",0,"Less than 5 Assists",0,"Less than 6 Rebounds",0,1,0
"22",45,"CHI","Matt Bonner","University of Florida",2003,"https://www.basketball-reference.com/players/b/bonnema01.html",0,"Less than 15 Point Scorer",0,"Less than 5 Assists",0,"Less than 6 Rebounds",0,0,0
"23",51,"NJN","Kyle Korver","Creighton University",2003,"https://www.basketball-reference.com/players/k/korveky01.html",0,"Less than 15 Point Scorer",0,"Less than 5 Assists",0,"Less than 6 Rebounds",0,0,0
"24",56,"BOS","Brandon Hunter","Ohio University",2003,"https://www.basketball-reference.com/players/h/huntebr01.html",0,"Less than 15 Point Scorer",0,"Less than 5 Assists",0,"Less than 6 Rebounds",0,0,1
"25",2,"CHA","Emeka Okafor","University of Connecticut",2004,"https://www.basketball-reference.com/players/o/okafoem01.html",0,"Less than 15 Point Scorer",0,"Less than 5 Assists",0,"Less than 6 Rebounds",0,0,0
"26",3,"CHI","Ben Gordon","University of Connecticut",2004,"https://www.basketball-reference.com/players/g/gordobe01.html",0,"Less than 15 Point Scorer",0,"Less than 5 Assists",0,"Less than 6 Rebounds",0,0,0
